"region","decade","pop"
"W. Europe",1960,339242
"W. Europe",1970,360748.9
"W. Europe",1980,371789
"W. Europe",1990,385540.2
"W. Europe",2000,396717.822222222
"W. Europe",2010,408608
"W. Offshoots",1800,7705
"W. Offshoots",1810,9724
"W. Offshoots",1820,12538
"W. Offshoots",1830,16752.9
"W. Offshoots",1840,22455.4
"W. Offshoots",1850,30815.7
"W. Offshoots",1860,40637.4
"W. Offshoots",1870,51044.6
"W. Offshoots",1880,64067.1
"W. Offshoots",1890,78491.2
"W. Offshoots",1900,94462
"W. Offshoots",1910,113678.7
"W. Offshoots",1920,131780.3
"W. Offshoots",1930,146824.2
"W. Offshoots",1940,161776
"W. Offshoots",1950,191930.3
"W. Offshoots",1960,226331.2
"W. Offshoots",1970,254722.6
"W. Offshoots",1980,282289.8
"W. Offshoots",1990,315800.4
"W. Offshoots",2000,349062.666666667
"W. Offshoots",2010,377346
"World",1800,954122
"World",1810,1031634
"World",1820,1090505.95
"World",1830,1187251.7
"World",1840,1241077.3
"World",1850,1267935.1
"World",1860,1306913.8
"World",1870,1360858.3
"World",1880,1466003.7
"World",1890,1578520.66666667
"World",1900,1713231.5
"World",1910,1873147.25714286
"World",1920,2009413.88571429
"World",1930,2207374.2
"World",1940,2416615.93333333
"World",1950,2735142.45
"World",1960,3311946.4
"World",1970,4033689.6
"World",1980,4805175.9
"World",1990,5642822.2
"World",2000,6392281.73333333
"World",2010,6883434
