"ccode","decade","pop","pop2","gdp","gdp2","lab","cra","edu","att","lif","hgt","pol","id","hom","bio","c2p","s2p","s2t","c2t","ine","region","ctr"
8,1980,2928.8,2928.8,2408.5888272,2347.084121,NA,NA,NA,NA,71.3065,168.159198479475,2,0,1.72,0.778,0.49,0.03,83,1954.3,28.4331251062958,"East. Europe and form. SU","Albania"
8,1990,3374.3,3374.3,2224.810945,2499.400144,NA,NA,NA,NA,72.3185,168.029549260551,12,0,13.1775,0.776,0.6,0.03,93,728.3,28.5386390745016,"East. Europe and form. SU","Albania"
8,2000,3545.55555555556,3545.55555555556,4040.03663,2962.279357,NA,NA,NA,NA,75.8425,167.9,16,11.99,4.416,0.774,0.19,0,13,911.222222222222,28.6445446,"East. Europe and form. SU","Albania"
8,2010,3169,3169,5374.99081,5374.99081,NA,NA,NA,NA,81.3527133153868,167.701416498963,NA,NA,4.50579409901325,0.768,0.2,NA,Inf,1486.82062229072,40.7432590280047,"East. Europe and form. SU","Albania"
12,1820,2689,2689,430.2714764,430.2714764,5.44446790564173,5.2074296964186,0.130905799646483,3.62812417287409,18.9,171.77768047478,NA,NA,0.000310837614612384,0.983,0,0,0,8.88133734234602e-05,37.8884035397221,"MENA","Algeria"
12,1830,3155,3155,476.277868231222,476.277868231222,5.9040075045187,5.79191393744187,0.163673778561447,4.31166890883902,18.9,171.444249947151,1,NA,0.000547950923194908,0.98,0,0,0,0.000285445608379461,37.7277771549368,"MENA","Algeria"
12,1840,3622,3622,527.203452259513,527.203452259513,6.40233448291483,6.44200095141078,0.204644147630792,5.12399463018441,18.9,171.111466627684,1,NA,0.000965939127426921,0.977,0,0,0,0.000917420341130717,37.5678317393421,"MENA","Algeria"
12,1850,4088,4088,583.574208699979,583.574208699979,6.94272268450679,7.1650540229378,0.255870106547402,6.08936389256017,18.9,170.77932926011,1,NA,0.00170277730796413,0.974,0,0,0,0.00294858304914444,37.4085644059961,"MENA","Algeria"
12,1860,4555,4555,645.972357730633,645.972357730633,7.52872228131702,7.9692628949976,0.319918806291473,7.23661035817305,18.9,170.447836590597,1,NA,0.00300169076724445,0.97,0,0,0,0.00947672686980805,37.2499722801959,"MENA","Algeria"
12,1870,3776,3776,715.0423729,715.0423729,8.16418309717148,8.8637365309837,0.4,8.6,18.9,170.11698736775,1,NA,0.00529144205764247,0.967,0,0,1,0.0304581389325292,37.0920524994259,"MENA","Algeria"
12,1880,5488,5488,807.565090391018,775.213861597919,8.8532798997708,9.85860628841993,0.44,9,19.0135316526272,169.786780342601,1,NA,0.00932786260161334,0.964,0,0,1,0.0978922617458573,36.934802213306,"MENA","Algeria"
12,1890,5954,5954,912.05976028145,840.448837704898,9.60053982753535,10.9651406729354,0.48,9.5,21.0974336282747,169.457214268606,1,NA,0.0164433475348953,0.961,0,0,1,0.314625096790958,36.7782185835402,"MENA","Algeria"
12,1900,6421,6421,1030.07549016498,911.17339845231,10.4108721314096,12.1958729722772,0.5,9.8,23.4097333326265,169.128287901642,1,NA,0.0289866703339501,0.958,0,0,1,1.01120302836306,36.6222987838653,"MENA","Algeria"
12,1910,5497,5497,1163.361834,987.8494975546,11.2896004270195,13.5647432160215,0.62,12.1,25.9754633838608,168.8,1,NA,0.0510982970630531,0.955,0,0,1,3.25,36.46704,"MENA","Algeria"
12,1920,7354,7354,1245.77371946467,1070.97796256609,12.2424976690691,15.0872560689064,0.72,14.2,28.8224,166.241,1,NA,0.0900771262329463,0.952,0,0,2,11,38.3451568362942,"MENA","Algeria"
12,1930,7820,7820,1334.02361565596,1161.1017661512,13.2758240777466,16.7806564461833,0.79,14.7,31.22,169,1,NA,0.158789805859361,0.949,0,0,3,27.4,40.32,"MENA","Algeria"
12,1940,8287,8287,1428.52508390732,1258.80957263509,14.396368266303,18.6641248401139,0.87,16,33.72,169.381177505192,1,NA,0.279917926995668,0.946,0.01,0,2,159.6,40.479947001385,"MENA","Algeria"
